Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
2021-08-12 23:00,2021-08-13 06:28,CEST,448,432,16,0
2021-08-11 22:34,2021-08-12 06:19,CEST,465,448,14,2
2021-08-10 22:57,2021-08-11 06:13,CEST,437,426,11,0
2021-08-09 23:00,2021-08-10 06:28,CEST,448,433,15,0
2021-08-09 00:28,2021-08-09 07:20,CEST,412,395,17,0
2021-08-07 23:21,2021-08-08 08:08,CEST,527,500,23,3
2021-08-06 23:53,2021-08-07 07:20,CEST,447,432,15,0
2021-08-05 23:49,2021-08-06 07:05,CEST,436,420,13,3
2021-08-04 22:13,2021-08-05 07:13,CEST,540,522,16,2
2021-08-04 01:18,2021-08-04 07:08,CEST,350,339,11,0
2021-08-02 23:23,2021-08-03 07:05,CEST,463,443,13,6
2021-07-23 00:11,2021-07-23 05:00,CEST,288,279,9,0
2021-07-21 23:30,2021-07-22 06:21,CEST,411,396,13,2
