item;n_trials;err;rt;sd;rtz;n_used;c_freq_movies;lc_freq_movies;c_freq_books;lc_freq_books;n_letters;n_syllables
vidèrent;23;0,043478261;775,5909091;183,3065762;0,141726914;22;0,11;-0,958607315;1,35;0,130333768;8;2
vides;48;0,041666667;596,0666667;136,9272202;-0,667600909;45;13,33;1,124830149;47,91;1,680426171;5;1
vidés;25;0;632,8;156,0790398;-0,397449263;25;0,65;-0,187086643;2,64;0,421603927;5;2
videz;23;0;613,8695652;166,9391028;-0,673560887;23;2,71;0,432969291;0,27;-0,568636236;5;2
vie;24;0,041666667;571,9565217;131,20715;-0,718145544;23;986,59;2,994136709;835,47;2,92193086;3;1
vieil;25;0,08;745,5652174;255,3373573;-0,031612515;23;34,69;1,5402043;51,22;1,709439574;5;1
vieillard;24;0;609,8695652;137,4059362;-0,63658189;23;7,62;0,881954971;37,77;1,577146985;9;2
vieillardes;24;0,125;741,7619048;162,2716564;0,371066103;21;0;#NAME?;0,34;-0,468521083;11;2
vieillards;25;0;718,8333333;230,822474;0,020298502;24;3,96;0,597695186;16,69;1,222456337;10;2
vieille;24;0,041666667;661,0434783;173,7954593;-0,39325975;23;102,54;2,010893313;232,43;2,366292182;7;1
vieilleries;23;0,043478261;913,2727273;288,4495799;0,82092961;22;1,37;0,136720567;1,62;0,209515015;11;2
vieilles;25;0,12;714,3636364;195,7251585;-0,031716487;22;20,76;1,317227349;63,17;1,800510877;8;1
vieillesse;25;0;730,2;232,6424295;-0,116599171;25;4,75;0,67669361;14,39;1,158060794;10;2
vieilli;25;0;761,6086957;207,4796242;0,010319009;23;4,66;0,668385917;12,23;1,087426457;7;2
vieillie;24;0;789,8333333;188,1236103;0,497508968;24;0,46;-0,337242168;2,16;0,334453751;8;2
vieillir;25;0;660,84;139,4900474;-0,541022089;25;5,49;0,739572344;8,58;0,933487288;8;2
vieillis;26;0;749,1538462;244,9340633;0,029461755;26;2,96;0,471291711;2,36;0,372912003;8;2
vieillissait;25;0,04;737,7916667;213,9802874;0,137519459;24;0,48;-0,318758763;2,5;0,397940009;12;3
vieillissant;25;0;782,84;282,897019;0,27508396;25;1,45;0,161368002;3,11;0,492760389;12;3
vieillissement;24;0;747;158,1067333;-0,078715063;24;1,04;0,017033339;2,5;0,397940009;14;3
vieillissent;25;0;713,1304348;201,3338034;0,050181018;23;0,76;-0,119186408;0,88;-0,055517328;12;2
vieillit;25;0;708,68;167,9041691;-0,090708923;25;3,19;0,503790683;3,45;0,537819095;8;2
vieillot;25;0,2;834,35;236,2104938;0,551552392;20;0,25;-0,602059991;1,28;0,10720997;8;2
viendra;25;0;684,72;183,7848652;-0,462777314;25;52,92;1,723619836;23,11;1,363799945;7;2
viendrai;25;0,04;752,5833333;208,6321741;0,090634903;24;21,68;1,336059278;5,95;0,774516966;8;2
viendraient;24;0;729,7083333;210,6188561;-0,005803408;24;1,68;0,225309282;6,35;0,802773725;11;2
viendrais;25;0;702,36;262,7544608;-0,250524958;25;11,8;1,071882007;2,7;0,431363764;9;2
viendrait;25;0;656,12;216,8352524;-0,330902706;25;9,89;0,995196292;20,27;1,306853749;9;2
viendras;23;0,130434783;697;227,6675785;-0,184052116;20;13,72;1,137354111;3,85;0,58546073;8;2
viendrez;25;0;740,1666667;221,3915804;0,099879067;24;5,73;0,758154622;4,05;0,607455023;8;2
viendriez;25;0,04;750;217,7099822;0,174700982;23;3,04;0,482873584;1,15;0,06069784;9;3
viendrons;24;0,041666667;769,5217391;208,4928317;0,203490467;23;1,67;0,222716471;0,74;-0,13076828;9;2
viendront;24;0;712,5416667;242,2946426;-0,144587312;24;14,25;1,153814864;8,31;0,919601024;9;2
vienne;23;0,043478261;670,9090909;181,1584177;-0,192152662;22;34,52;1,538070787;25;1,397940009;6;1
viennent;25;0;609,44;126,4005142;-0,761433361;25;76,48;1,883547879;62,77;1,797752129;8;1
viennes;25;0,08;756,9565217;263,3648486;0,20365273;23;11,59;1,064083436;3,11;0,492760389;7;1
viens;24;0,125;599,0952381;113,9854836;-0,716880264;21;944,81;2,975344481;126,49;2,102056193;5;1
vient;25;0,08;794,4782609;328,9021504;0,136087251;23;352,24;2,546838672;206,22;2,314330783;5;1
vierge;25;0,04;572,125;92,94098759;-0,789391424;24;43,63;1,639785213;45;1,653212514;6;1
vierges;24;0,041666667;636,7826087;116,0830254;-0,441689461;23;6,19;0,791690649;5,74;0,758911892;7;1
vies;25;0,04;656,2916667;122,922202;-0,439145419;24;34,63;1,539452492;17,84;1,25139485;4;1
vieux;25;0;642,24;232,1097585;-0,602808263;25;304,62;2,483758414;403,11;2,605423572;5;1
vif;25;0;634,6;151,1662992;-0,660986278;25;11,47;1,059563418;53,92;1,731749884;3;1
vifs;23;0,043478261;682,6666667;230,9071964;-0,074800304;21;2,94;0,46834733;10,41;1,01745073;4;1
vigie;25;0,72;904;294,4737679;1,207044185;6;0,51;-0,292429824;1,35;0,130333768;5;2
vigilance;24;0;658,4583333;172,4412891;-0,344391492;24;0,88;-0,055517328;7,97;0,901458321;9;3
vigilant;23;0,043478261;681,5;204,6243364;-0,304799387;22;1,96;0,292256071;2,09;0,320146286;8;3
vigilante;25;0,04;654,2083333;137,4570223;-0,3811815;24;1,04;0,017033339;1,49;0,173186268;9;3
vigilants;25;0,04;729,0833333;241,9559638;0,035641382;24;1,8;0,255272505;0,95;-0,022276395;9;3
vigile;25;0,12;655,0454545;163,403234;-0,268168233;22;2,35;0,371067862;0,68;-0,167491087;6;2
vigiles;25;0;685,48;189,1011898;-0,359496006;25;1,39;0,1430148;0,74;-0,13076828;7;2
vigne;24;0;647,8333333;180,0832336;-0,464060502;24;4,97;0,696356389;10,61;1,025715384;5;1
vignerons;24;0,125;708,047619;183,390424;-0,214251062;21;0,68;-0,167491087;1,28;0,10720997;9;2
vignes;25;0,04;637,5;137,3981836;-0,459092417;24;1,9;0,278753601;9,8;0,991226076;6;1
vignettes;24;0,041666667;645,2173913;161,8222809;-0,451141849;23;0,07;-1,15490196;1,35;0,130333768;9;2
vignoble;25;0;663,12;152,750701;-0,380690802;25;1,1;0,041392685;0,74;-0,13076828;8;2
vignobles;25;0,04;683,1666667;111,4726196;-0,319122852;24;0,43;-0,366531544;1,22;0,086359831;9;2
vigoureuse;24;0,041666667;620,5652174;101,832673;-0,560389385;23;0,56;-0,251811973;3,18;0,50242712;10;3
vigoureusement;24;0,041666667;735,2173913;175,7086836;0,015078482;23;0,55;-0,259637311;3,92;0,593286067;14;4
vigoureuses;23;0;716,2608696;147,0161455;0,034960409;23;0,01;-2;1,01;0,004321374;11;3
vigoureux;25;0;704,9166667;227,7948957;-0,256117077;24;2,05;0,311753861;6,35;0,802773725;9;3
vigueur;25;0;654;209,1592296;-0,366015218;25;3,61;0,557507202;15,54;1,191451014;7;2
vikings;25;0,12;723,6190476;124,7743869;-0,04122553;21;0,22;-0,657577319;0,27;-0,568636236;7;2
